round,i,j,b_0,b_1
23,3,1,0.5,0.5
23,3,2,0.5,0.5
23,3,4,0.5,0.5
23,3,5,0.5,0.5
23,4,0,0.5,0.5
23,4,1,0.5,0.5
23,4,2,0.5,0.5
23,4,3,0.5,0.5
23,4,5,0.5,0.5
23,5,0,0.5,0.5
23,5,1,0.5,0.5
23,5,2,0.5,0.5
23,5,3,0.5,0.5
23,5,4,0.5,0.5
24,0,1,0.5,0.5
24,0,2,0.5,0.5
24,0,3,0.5,0.5
24,0,4,0.5,0.5
24,0,5,0.5,0.5
24,1,0,0.5,0.5
24,1,2,0.5,0.5
24,1,3,0.5,0.5
24,1,4,0.5,0.5
24,1,5,0.5,0.5
24,2,0,0.5,0.5
24,2,1,0.5,0.5
24,2,3,0.5,0.5
24,2,4,0.5,0.5
24,2,5,0.5,0.5
24,3,0,0.5,0.5
24,3,1,0.5,0.5
24,3,2,0.5,0.5
24,3,4,0.5,0.5
24,3,5,0.5,0.5
24,4,0,0.5,0.5
24,4,1,0.5,0.5
24,4,2,0.5,0.5
24,4,3,0.5,0.5
24,4,5,0.5,0.5
24,5,0,0.5,0.5
24,5,1,0.5,0.5
24,5,2,0.5,0.5
24,5,3,0.5,0.5
24,5,4,0.5,0.5
25,0,1,0.5,0.5
25,0,2,0.5,0.5
25,0,3,0.5,0.5
25,0,4,0.5,0.5
25,0,5,0.5,0.5
25,1,0,0.5,0.5
25,1,2,0.5,0.5
25,1,3,0.5,0.5
25,1,4,0.5,0.5
25,1,5,0.5,0.5
25,2,0,0.5,0.5
25,2,1,0.5,0.5
25,2,3,0.5,0.5
25,2,4,0.5,0.5
25,2,5,0.5,0.5
25,3,0,0.5,0.5
25,3,1,0.5,0.5
25,3,2,0.5,0.5
25,3,4,0.5,0.5
25,3,5,0.5,0.5
25,4,0,0.5,0.5
25,4,1,0.5,0.5
25,4,2,0.5,0.5
25,4,3,0.5,0.5
25,4,5,0.5,0.5
25,5,0,0.5,0.5
25,5,1,0.5,0.5
25,5,2,0.5,0.5
25,5,3,0.5,0.5
25,5,4,0.5,0.5
26,0,1,0.5,0.5
26,0,2,0.5,0.5
26,0,3,0.5,0.5
26,0,4,0.5,0.5
26,0,5,0.5,0.5
26,1,0,0.5,0.5
26,1,2,0.5,0.5
26,1,3,0.5,0.5
26,1,4,0.5,0.5
26,1,5,0.5,0.5
26,2,0,0.5,0.5
26,2,1,0.5,0.5
26,2,3,0.5,0.5
26,2,4,0.5,0.5
26,2,5,0.5,0.5
26,3,0,0.5,0.5
26,3,1,0.5,0.5
26,3,2,0.5,0.5
26,3,4,0.5,0.5
26,3,5,0.5,0.5
26,4,0,0.5,0.5
26,4,1,0.5,0.5
26,4,2,0.5,0.5
26,4,3,0.5,0.5
26,4,5,0.5,0.5
26,5,0,0.5,0.5
26,5,1,0.5,0.5
26,5,2,0.5,0.5
26,5,3,0.5,0.5
26,5,4,0.5,0.5
27,0,1,0.5,0.5
27,0,2,0.5,0.5
27,0,3,0.5,0.5
27,0,4,0.5,0.5
27,0,5,0.5,0.5
27,1,0,0.5,0.5
27,1,2,0.5,0.5
27,1,3,0.5,0.5
27,1,4,0.5,0.5
27,1,5,0.5,0.5
27,2,0,0.5,0.5
27,2,1,0.5,0.5
27,2,3,0.5,0.5
27,2,4,0.5,0.5
27,2,5,0.5,0.5
27,3,0,0.5,0.5
27,3,1,0.5,0.5
27,3,2,0.5,0.5
27,3,4,0.5,0.5
27,3,5,0.5,0.5
27,4,0,0.5,0.5
27,4,1,0.5,0.5
27,4,2,0.5,0.5
27,4,3,0.5,0.5
27,4,5,0.5,0.5
27,5,0,0.5,0.5
27,5,1,0.5,0.5
27,5,2,0.5,0.5
27,5,3,0.5,0.5
27,5,4,0.5,0.5
28,0,1,0.5,0.5
28,0,2,0.5,0.5
28,0,3,0.5,0.5
28,0,4,0.5,0.5
28,0,5,0.5,0.5
28,1,0,0.5,0.5
28,1,2,0.5,0.5
28,1,3,0.5,0.5
28,1,4,0.5,0.5
28,1,5,0.5,0.5
28,2,0,0.5,0.5
28,2,1,0.5,0.5
28,2,3,0.5,0.5
