round,i,j,r_i,r_j
66,1,10,0.0,3.0
66,12,15,3.0,3.0
66,11,10,3.0,0.0
66,12,17,3.0,3.0
66,14,15,0.0,3.0
66,9,1,3.0,0.0
66,13,12,3.0,3.0
66,9,10,3.0,3.0
66,7,9,3.0,0.0
66,0,18,0.0,3.0
66,2,4,4.0,4.0
66,18,7,3.0,0.0
66,5,16,3.0,3.0
67,15,10,3.0,3.0
67,19,7,3.0,0.0
67,16,19,3.0,3.0
67,6,15,0.0,3.0
67,0,3,4.0,4.0
67,8,10,4.0,4.0
67,7,12,4.0,4.0
67,5,7,4.0,4.0
67,3,2,4.0,4.0
67,0,10,4.0,4.0
67,19,13,3.0,3.0
67,16,13,3.0,3.0
67,8,18,0.0,3.0
67,0,11,0.0,3.0
68,14,5,0.0,3.0
68,2,7,4.0,4.0
68,16,5,3.0,0.0
68,17,4,4.0,4.0
68,10,11,3.0,3.0
68,6,9,3.0,0.0
69,3,16,0.0,3.0
69,15,7,3.0,0.0
69,18,5,3.0,0.0
69,13,15,3.0,3.0
69,13,17,3.0,3.0
69,19,16,3.0,3.0
69,16,5,3.0,0.0
69,17,5,3.0,0.0
69,11,10,4.0,4.0
69,3,12,0.0,3.0
69,15,18,3.0,3.0
69,17,1,3.0,0.0
70,17,12,3.0,3.0
70,16,14,3.0,0.0
70,10,9,3.0,0.0
70,13,19,3.0,0.0
70,4,7,0.0,3.0
70,2,15,0.0,3.0
70,11,9,4.0,4.0
70,10,13,3.0,3.0
70,14,12,4.0,4.0
70,3,19,0.0,3.0
70,14,8,4.0,4.0
70,6,2,4.0,4.0
70,10,3,3.0,0.0
70,5,16,0.0,3.0
70,6,12,0.0,3.0
71,5,8,0.0,3.0
71,9,11,3.0,3.0
71,1,3,4.0,4.0
71,17,11,3.0,0.0
71,7,10,3.0,3.0
71,5,7,0.0,3.0
71,10,7,3.0,3.0
71,19,7,3.0,0.0
71,9,5,0.0,3.0
71,17,3,3.0,0.0
71,10,5,3.0,0.0
71,3,13,0.0,3.0
71,16,17,3.0,3.0
71,2,17,0.0,3.0
71,19,9,3.0,0.0
72,5,15,3.0,3.0
72,14,5,3.0,0.0
72,10,6,3.0,3.0
72,1,10,0.0,3.0
72,8,4,3.0,0.0
72,12,5,3.0,3.0
72,6,8,3.0,0.0
72,3,2,4.0,4.0
73,5,19,3.0,3.0
73,5,4,4.0,4.0
73,15,2,3.0,0.0
73,5,8,0.0,3.0
73,19,4,3.0,0.0
73,18,10,3.0,3.0
73,1,5,4.0,4.0
73,14,12,3.0,0.0
73,2,6,4.0,4.0
74,13,9,3.0,3.0
74,5,2,4.0,4.0
74,19,18,3.0,3.0
74,2,1,4.0,4.0
74,11,14,3.0,3.0
74,4,16,0.0,3.0
74,10,17,3.0,3.0
74,18,3,3.0,0.0
74,10,0,3.0,0.0
74,7,18,0.0,3.0
74,11,3,3.0,0.0
74,6,14,4.0,4.0
74,9,19,3.0,3.0
75,19,2,3.0,0.0
75,10,12,3.0,3.0
75,9,18,0.0,3.0
75,17,14,3.0,3.0
75,18,12,3.0,3.0
75,4,19,0.0,3.0
75,5,12,3.0,3.0
75,19,0,3.0,0.0
75,0,12,0.0,3.0
75,3,12,4.0,4.0
75,12,19,3.0,3.0
75,7,6,4.0,4.0
75,15,16,3.0,3.0
75,13,19,3.0,3.0
76,10,18,3.0,3.0
76,1,17,0.0,3.0
76,13,18,3.0,3.0
76,12,13,3.0,0.0
76,9,17,0.0,3.0
76,5,7,4.0,4.0
76,11,15,0.0,3.0
77,15,7,4.0,4.0
77,18,13,3.0,0.0
77,7,1,3.0,0.0
77,10,7,4.0,4.0
77,4,19,0.0,3.0
77,1,0,4.0,4.0
77,11,0,3.0,0.0
77,17,1,3.0,0.0
77,4,5,4.0,4.0
77,3,8,4.0,4.0
77,3,16,0.0,3.0
77,16,19,3.0,3.0
77,12,11,3.0,3.0
77,4,3,4.0,4.0
78,18,12,3.0,0.0
78,18,11,3.0,0.0
78,4,10,0.0,3.0
78,17,19,3.0,3.0
78,8,10,3.0,3.0
78,18,1,3.0,0.0
79,9,16,3.0,3.0
79,5,10,0.0,3.0
79,9,13,0.0,3.0
79,0,1,4.0,4.0
79,18,15,3.0,3.0
79,18,7,3.0,0.0
80,1,10,0.0,3.0
80,18,10,3.0,3.0
80,17,18,3.0,3.0
80,9,10,0.0,3.0
80,4,5,4.0,4.0
80,7,13,0.0,3.0
80,11,5,4.0,4.0
80,12,5,3.0,0.0
81,3,17,3.0,0.0
81,12,10,3.0,3.0
81,15,6,4.0,4.0
81,15,19,3.0,3.0
81,2,1,0.0,3.0
81,10,17,3.0,3.0
81,12,19,0.0,3.0
81,7,3,4.0,4.0
81,16,10,3.0,3.0
81,19,12,3.0,3.0
81,14,18,3.0,3.0
81,18,10,3.0,3.0
82,5,7,3.0,3.0
82,9,18,4.0,4.0
82,17,14,3.0,3.0
82,19,11,3.0,0.0
82,19,8,0.0,3.0
83,16,11,3.0,0.0
83,17,16,3.0,3.0
83,8,9,4.0,4.0
83,0,8,4.0,4.0
83,12,17,0.0,3.0
83,15,13,3.0,3.0
84,14,3,3.0,0.0
84,11,2,3.0,0.0
84,4,1,4.0,4.0
84,19,4,3.0,0.0
84,17,15,3.0,3.0
84,1,13,0.0,3.0
85,18,15,3.0,3.0
85,11,1,3.0,0.0
85,2,16,0.0,3.0
85,3,17,0.0,3.0
85,15,17,3.0,3.0
85,8,6,3.0,0.0
85,16,14,3.0,3.0
85,0,8,4.0,4.0
85,16,19,3.0,3.0
85,13,2,4.0,4.0
85,14,19,3.0,3.0
85,9,13,3.0,0.0
86,4,5,4.0,4.0
86,14,7,0.0,3.0
86,8,5,4.0,4.0
86,10,17,3.0,3.0
86,14,11,3.0,3.0
86,4,12,0.0,3.0
86,1,4,3.0,0.0
86,13,8,3.0,0.0
86,2,3,4.0,4.0
87,16,9,3.0,0.0
87,19,5,3.0,3.0
87,9,10,3.0,3.0
87,6,4,3.0,0.0
87,1,6,0.0,3.0
87,16,17,3.0,3.0
87,16,7,3.0,0.0
87,9,0,3.0,0.0
87,17,16,3.0,3.0
87,11,16,3.0,3.0
87,15,11,3.0,0.0
87,1,2,4.0,4.0
87,15,0,3.0,0.0
88,8,6,0.0,3.0
88,0,14,0.0,3.0
88,14,5,3.0,0.0
88,10,13,3.0,0.0
